name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Quad Heavy Machine Gun,valk_quadheavymg,1,,1250,450,,50,,5,45,8,40,8,8,FRAGMENTATION,10,,0,0.29,8,0.03,0,6,1,12,,1200,,,50,,,PD,"pd15,valk_enigma_bp",,Enigma Company,,Point Defense,,,,,,,,,,
Battlefield Dust Cannon,valk_bcnn,2,,1750,900,,200,,20,10,10,,,,KINETIC,220,,0,1.3333,1,0,2,5,2.5,5,,1000,,,10,,,,"kinetic14,LR,valk_enigma_bp",,Enigma Company,,Anti-Shield,,,,,,,,,,
Heavy GR Lance,valk_heavylancer,2,,2250,700,,100,100,1,20,12,,,,ENERGY,80,,0,4.6,15,0.1,0,6,1,6,,1150,,,10,,,,"energy10,valk_enigma_bp",,Enigma Company,,General (Disabling),,,,,"On hit, applies %s stacks %s to the target. If the stack count exceeds %s, clears all stacks and releases a chain of shield-piercing arcs dealing roughly %s EMP total. Piercing chance scales with the target's hard flux.",GR Conduction | +1 | 15 | 1200,,,,
Twin HI-IR Laser,valk_twin_hiir_laser,1,,1500,700,,125,,1,15,10,8,2,4,ENERGY,75,,0,0.4,1,,4,12,4,6,,1000,,,10,,,,"energy10,valk_enigma_bp",,Enigma Company,,General Purpose,,,,,,,,,,
RW-BS Plasma Cannon,valk_plasma_laser,2,,1500,800,,200,,50,20,10,,,,HIGH_EXPLOSIVE,200,,0,3.8,4,0.4,0,5,1,10,,1000,,,30,,,,"he14,LR,kinetic4,valk_enigma_bp",,Enigma Company,,Anti-Armor,,,,,"On hit, has a %s chance to deal an additional %s fragmentation damage.",20% | 100~200,,,,
Light Antimatter Lance,valk_light_antimatter_laser,2,0.5,2500,700,900,,,,20,10,,,,ENERGY,,900,0.25,0.5,1.25,4,,,,,10000,,,,,,,,"energy12,beam10,valk_enigma_bp",,Enigma Company,,Anti-Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Large Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm GR Lance,valk_ultraheavylancer,2,,4000,800,,100,,20,12,21,,,,ENERGY,80,,0.8,0.2,10000,0.1333,5,7,0.5,5,,2000,,,20,,,,"energy15,valk_enigma_bp",,Enigma Company,,General Purpose,,,,,The weapon gradually %s: each shot has up to a %s chance to be replaced by a %s projectile.,heat up | 33% | 400 fragmentation damage,,,,
Storm GR Lance - Bluefire,valk_ultraheavylancer_extra,,,,800,,400,,20,12,21,,,,FRAGMENTATION,80,,0.8,0.2,10000,0.1333,5,7,0.5,5,,2000,,,20,,,SYSTEM,,,,,,,,,,,,,,,
Antiproton Charged Laser,valk_antiproton_laser,2,,3000,800,,200,,100,12,20,12,2,4,ENERGY,180,,0,0.13333,1,,0,5,1,5,,900,,,100,,,,"energy12,beam10,valk_enigma_bp",,Enigma Company,,General Purpose,,,,,,,,,,
MW Heavy Antiproton Lance,valk_imbc,3,0.5,8000,900,2000,,,,5,24,,,,ENERGY,,2000,0.25,0.5,1,6.575,,,,,10000,,,,,,,,"energy15,beam15,valk_enigma_bp",,Enigma Company,,Anti-Armor,,,,,,,,,,
GE Geironul Cannon,valk_geironul,0,,4000,800,,600,,200,5,18,,,,HIGH_EXPLOSIVE,600,,0,2,1,,0,8,4,8,,525,,,400,,,,"he18,valk_enigma_bp",,Enigma Company,,Anti-Armor,,,,,"On hull or armor hit, triggers an explosion after %s seconds dealing %s %s damage.",1 | 200 | high explosive,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion Venom MRM,valk_scorpion,1,,400,2500,,500,,15,30,5,4,,,ENERGY,0,,0,2,1,,0,0,0,,,425,100,12.5,400,,,"DO_NOT_AIM, USE_VS_FRIGATES, GROUP_LINKED, STRIKE","missile10,valk_enigma_bp",,Enigma Company,,General Purpose,Average,Average,,,"On hull or armor hit, has a %s chance to arc into weapons and engines, dealing additional damage equal to the weapon's impact damage.",25%,,,TRUE,
Scorpion Venom MRM Pod,valk_scorpionpod,1,,1200,2500,,500,,15,10,10,16,,,ENERGY,0,,0,11,2,1,0,0,0,,,425,100,12.5,400,,,"DO_NOT_AIM, USE_VS_FRIGATES, GROUP_LINKED, STRIKE","missile10,valk_enigma_bp",,Enigma Company,,General Purpose,Average,Average,,,"On hull or armor hit, has a %s chance to arc into weapons and engines, dealing additional damage equal to the weapon's impact damage.",25%,,,TRUE,
Wraith Heavy Missile,valk_wraith,2,,1200,2500,,800,,15,20,5,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,375,75,12.5,250,,,DO_NOT_AIM,"missile12,strike3,valk_enigma_bp",,Enigma Company,,Finisher Strike,Average,Average,,,,,,,TRUE,
Spectre Cruise Missile,valk_spectre,1,,1500,6000,,1200,,100,8,8,3,0.0333,,KINETIC,0,,0,10,1,,0,0,0,0,,200,50,30,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR","utility13,missile10,valk_enigma_bp",,Enigma Company,,Long-Range Support,Slow,Very Poor,,,"Generates %s: missile contrails mark fast transit lanes, increasing allied ship maximum speed inside the illuminated path by up to %s.",Cruise Mapping | 20%,,,,
Phantasm Cruise Missile,valk_phantasm,2,,1500,6000,,1500,,100,8,8,3,0.0333,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,200,50,30,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR","utility13,missile10,valk_enigma_bp",,Enigma Company,,Long-Range Support,Slow,Very Poor,,,"Generates %s: missile contrails mark fast transit lanes, increasing allied ship maximum speed inside the illuminated path by up to %s.",Cruise Mapping | 20%,,,,
Shadow Twin Cruise Missile,valk_shadow,2,,1500,4000,,1000,,150,10,10,20,,,HIGH_EXPLOSIVE,0,,0,9.5,2,0.5,0,0,0,0,,300,50,20,400,,,"DO_NOT_AIM, GUIDED_POOR","utility13,missile10,valk_enigma_bp",,Enigma Company,,Long-Range Support,Slow,Very Poor,,,"Generates %s: missile contrails mark fast transit lanes, increasing allied ship maximum speed inside the illuminated path by up to %s.",Cruise Mapping | 20%,,,,
Sunfury HE-AD Torpedo,valk_sunfury,2,0.5,3000,1500,,6000,,500,10,12,3,0.005555,,HIGH_EXPLOSIVE,0,,0,20,1,,0,0,0,0,,550,75,5,750,,,STRIKE,"strike14,rocket9,valk_enigma_bp",,Enigma Company,,Torpedo,Average,None,,,"Detonates in a massive %s high-explosive blast with a %s full-damage core radius.",300 su radius | 150 su,,,TRUE,
#Fighter Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wraith Triple Missile (Fighter),valk_wraith_fighter,,,,1250,,750,,100,,,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,375,75,4,150,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR",,,Enigma Company,,Strike,,,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
#Fighter Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatrice Eye,valk_cockatrice,1,,,400,,15,,2.5,50,,,,,FRAGMENTATION,5,,,0.08,1,0.01,1,5,0.4,5,,1000,,,20,,,"SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
Heavy Siege Cannon,valk_heavy_assault_cannon,2,,,1000,,400,,100,7.5,,,,,HIGH_EXPLOSIVE,400,,0,2.5,1,,0,5,1,10,,850,,,75,,,"SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
Redemption Burst Cannon,valk_ilc,1,,,800,,400,,100,10,,,,,ENERGY,320,,0,5,3,0.5,0,2.5,1,5,,1000,,,300,,,"SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
Redemption Shockwave,valk_ilc_II,2,,,900,,2000,,600,10,,,,,ENERGY,2200,,1.5,8.5,1,0.5,0,2.5,1,5,,1000,,,1000,,,"SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
Flux-Intensified Beam Cannon,valk_hyperbeam,2,,,800,1800,,,0,0,,,,,ENERGY,,2400,0,0.75,0.75,6,,,,,10000,,,,,,,"CONSERVE_1,SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
IR Burst Driver,valk_irdriver,1,,,450,,30,,0,50,,,,,ENERGY,25,,0.2,0,,,,,,,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,General Purpose,,,,,,,,,,
Legion Tactical Plasma Launcher,valk_ballista,2,,,4500,,250,,50,10,,80,,,ENERGY,,,0,5,,,0,0,0,0,,200,100,25,150,,,"DO_NOT_AIM,SYSTEM,SHOW_IN_CODEX",,,Enigma Company,,Long-Range Support,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, # Decorative Weapons
Jenova Radar Array,valk_jenova_radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
"Jenova Bay Door, Right",valk_jenova_doorR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
"Jenova Bay Door, Left",valk_jenova_doorL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Jenova ECM Power Loop,valk_jenova_ECM_deco,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Signal Light - Short,valk_blinker_short,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Signal Light - Long,valk_blinker_long,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Flight Deck Array,valk_blinker_deck_sequence,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Jenova Array Heat Vent,valk_jenova_ECM_heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Redemption Shockwave Left Charge Bar,valk_ilc_ii_charge_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
Redemption Shockwave Right Charge Bar,valk_ilc_ii_charge_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Enigma Company,,,,,,,,,,,,
