id,trigger,conditions,script,text,options,notes,Column 08
vft_findshipsTalkChoseLove,DialogOptionSelected,$option == vft_type_love,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 0
CallEvent $valkft_eventRef nextStage","The general suddenly trembles, and a whole galaxy seems to surge behind her eyes. Her age-worn face fills with grief so sharp it hurts to witness. She gives you one long look, then leaves without turning back.",0:cutCommLink:Leave,,
vft_findshipsTalkChoseHate,DialogOptionSelected,$option == vft_type_hate,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 1
CallEvent $valkft_eventRef nextStage","The general sighs and turns away, her silhouette diminished. You have never trusted sentimental writing, but in that instant she truly seems ten years older.",0:cutCommLink:Leave,,
vft_findshipsTalkChoseNormal,DialogOptionSelected,$option == vft_type_normal,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 2
CallEvent $valkft_eventRef nextStage","Her cybernetic eye flickers rapidly, betraying the state she is trying to hide. The general masters herself quickly. ""It is time to go,"" she says, and leaves without another word.",0:cutCommLink:Leave,,
,,,,,,,
vft_findHeEncounter,BeginFleetEncounter,"!$talked
$valkft_isHisFleet score:100","unset $entity.ignorePlayerCommRequests
AddText ""You have finally met $personName, the man who left the general buried in memory."" $faction.baseColor
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
$talked = true
CallEvent $valkft_eventRef succeed
OpenComms",,,,
vft_findHeGreeting0,OpenCommLink,$valkft_isHe score:100,"$entity.ignorePlayerCommRequests = true
$vft_fhc = 1
","To your surprise, you receive his comm request first. When you accept, he begins speaking as if he already knows why you came.

""You are the one she sent, aren't you? This day did not arrive as late as I expected.""

The wanderer leader's eyelids droop. He looks less like a fleet commander than a man weathered by too many ports and too much empty space.

""Years in the void cost us dearly. This ship was once full of revolutionary hope. We tried to build our own utopia, but on the new world we ran out of fuel money. Alliance merchants manipulated a fragile colonial economy, made famine, and squeezed every credit from the people.""

""When I realized destroying trade fleets only made our own survival impossible, I understood what exile truly meant.""","0:vft_he_continue:""You once loved each other. How did it come to this?""",,
vft_findHeGreeting1,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 1",$vft_fhc = 2,"""At some point, communication stopped. Both sides silently insisted on their own justice through action. On the eve of the great battle, my followers and I hid old carbines and electromagnetic rifles inside supply crates and moved them aboard. We could not let the chance pass. The crushing weight of interstellar power was suffocating the movement. We had to reach the edge of Valkyrian force projection. It was our only road out.""","0:vft_he_continue:""I cannot deny that it was a great struggle.""",,
vft_findHeGreeting2,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 2",$vft_fhc = 3,"""We seized a detachment with the speed of thunder. Before anyone exposed us, revolutionaries boarded a prototype Yoshura variant and killed the defending foot-lancers. Their pulse deflection fields failed completely under concentrated fire. The fall of that battleship became the movement's greatest achievement.

""The outpost was our final target. Once armed mobs stripped it bare, we broke from the organization and became residents of the silent void. From the captured battleship's frame and the outpost's secrets, I built this war machine. I chose to defend the meaning of my life with iron and blood until the final moment.""

Resolve hardens in his eyes as he raises a hand to cut the channel.","0:vft_he_continue:""Allow me one last question. What do you think of her now?""",,
vft_findHeLove,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 0
$vft_fhc == 3",,"""She is the only one, in every moment.""

Both sides fall silent. After a while, he looks at you, and the stars in his eyes seem never to have gone out. He cuts the connection with final resolve. His transmission ends, announcing both the end of a story and the beginning of a battle.",cutCommLink:Cut the link,,
vft_findHeHate,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 1
$vft_fhc == 3",,"""I hate her.""

The channel falls silent. The flagship shudders violently, and from beyond the bridge you hear someone shouting, ""Incoming fire! Incoming fire!""",cutCommLink:Cut the link,,
vft_findHeNormal,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 2
$vft_fhc == 3",,"""From the moment we abandoned the organization, there was nothing left between us.""

Static rolls through the channel, and the connection dies.",cutCommLink:Cut the link,,
,,,,,,,
